"SaleID,PropertyID,LocationID,SalePrice,ListPrice,DaysOnMarket,LastSaleDate,PricePerSqFt,HOAFees,PropertyTax"
"55,1055,55,465000,470000,38,7/28/2027,251.35,0,5640"
"56,1056,56,335000,340000,30,9/1/2027,304.55,300,4080"
"57,1057,57,585000,590000,48,10/6/2027,265.91,0,7080"
"58,1058,58,405000,410000,40,11/10/2027,253.13,180,4920"
"59,1059,59,755000,760000,55,12/15/2027,269.64,0,9120"
"60,1060,60,215000,220000,28,1/19/2028,268.75,250,2640"
"61,1061,61,495000,500000,45,2/23/2028,260.53,0,6000"
"62,1062,62,525000,530000,42,3/29/2028,262.50,220,6360"
"63,1063,63,625000,630000,50,5/3/2028,260.42,0,7560"
"64,1064,64,355000,360000,32,6/7/2028,295.83,300,4320"
"65,1065,65,455000,460000,40,7/12/2028,260.00,0,5520"
"66,1066,66,405000,410000,38,8/16/2028,253.13,180,4920"
"67,1067,67,735000,740000,55,9/20/2028,262.50,0,8880"
"68,1068,68,205000,210000,25,10/25/2028,256.25,275,2520"
"69,1069,69,485000,490000,45,11/29/2028,255.26,0,5880"
"70,1070,70,525000,530000,42,1/3/2029,262.50,220,6360"
"71,1071,71,585000,590000,48,2/7/2029,265.91,0,7080"
"72,1072,72,345000,350000,32,3/14/2029,287.50,300,4200"
"73,1073,73,465000,470000,40,4/18/2029,258.33,0,5640"
"74,1074,74,415000,420000,38,5/23/2029,244.12,200,5040"
"75,1075,75,745000,750000,55,6/27/2029,265.18,0,9000"
"76,1076,76,195000,200000,28,8/1/2029,243.75,250,2400"
"77,1077,77,505000,510000,45,9/5/2029,265.79,0,6120"
"78,1078,78,425000,430000,42,10/10/2029,250.00,180,5160"
"79,1079,79,615000,620000,50,11/14/2029,256.25,0,7440"
"80,1080,80,335000,340000,30,12/19/2029,304.55,300,4080"
"81,1081,81,475000,480000,40,1/23/2030,263.89,0,5760"
"82,1082,82,515000,520000,38,2/27/2030,257.50,220,6240"
"83,1083,83,755000,760000,55,4/3/2030,269.64,0,9120"
"84,1084,84,205000,210000,25,5/8/2030,256.25,275,2520"
"85,1085,85,495000,500000,45,6/12/2030,260.53,0,6000"
"86,1086,86,405000,410000,42,7/17/2030,253.13,180,4920"
"87,1087,87,625000,630000,50,8/21/2030,260.42,0,7560"
"88,1088,88,355000,360000,32,9/25/2030,295.83,300,4320"
"89,1089,89,465000,470000,40,10/30/2030,258.33,0,5640"
"90,1090,90,525000,530000,38,12/4/2030,262.50,220,6360"
"91,1091,91,735000,740000,55,1/8/2031,262.50,0,8880"
"92,1092,92,215000,220000,28,2/12/2031,268.75,250,2640"
"93,1093,93,485000,490000,45,3/19/2031,255.26,0,5880"
"94,1094,94,415000,420000,42,4/23/2031,244.12,200,5040"
"95,1095,95,585000,590000,48,5/28/2031,265.91,0,7080"
"96,1096,96,345000,350000,32,7/2/2031,287.50,300,4200"
"97,1097,97,475000,480000,40,8/6/2031,263.89,0,5760"
"98,1098,98,425000,430000,38,9/10/2031,250.00,180,5160"
"99,1099,99,745000,750000,55,10/15/2031,265.18,0,9000"
"100,1100,100,205000,210000,25,11/19/2031,256.25,275,2520"
"101,1101,101,495000,500000,42,12/24/2031,259.21,0,5940"
"102,1102,102,385000,390000,35,1/28/2032,303.15,320,4620"
"103,1103,103,625000,630000,48,3/3/2032,260.42,0,7500"
"104,1104,104,365000,370000,30,4/7/2032,288.19,280,4380"
"105,1105,105,545000,550000,40,5/12/2032,254.67,0,6540"
"106,1106,106,435000,440000,38,6/16/2032,255.88,200,5220"
"107,1107,107,755000,760000,55,7/21/2032,269.64,0,9060"
"108,1108,108,225000,230000,25,8/25/2032,265.63,260,2700"
"109,1109,109,505000,510000,45,9/29/2032,257.14,0,6060"
"110,1110,110,415000,420000,36,11/3/2032,244.12,190,4980"
"111,1111,111,685000,690000,50,12/8/2032,261.22,0,8220"
"112,1112,112,335000,340000,32,1/12/2033,293.86,310,4020"
"113,1113,113,565000,570000,44,2/16/2033,256.82,0,6780"
"114,1114,114,445000,450000,39,3/23/2033,255.75,210,5340"
"115,1115,115,715000,720000,52,4/27/2033,262.87,0,8580"
"116,1116,116,235000,240000,28,6/1/2033,268.57,270,2820"
"117,1117,117,525000,530000,46,7/6/2033,259.41,0,6300"
"118,1118,118,405000,410000,37,8/10/2033,246.95,180,4860"
"119,1119,119,645000,650000,49,9/14/2033,258.00,0,7740"
"120,1120,120,355000,360000,33,10/19/2033,296.67,290,4260"
"121,1121,121,585000,590000,47,11/23/2033,257.02,0,7020"
"122,1122,122,465000,470000,40,12/28/2033,258.33,220,5580"
"123,1123,123,735000,740000,54,2/1/2034,266.30,0,8820"
"124,1124,124,245000,250000,29,3/8/2034,272.22,280,2940"
"125,1125,125,545000,550000,43,4/12/2034,261.54,0,6540"
"126,1126,126,425000,430000,38,5/17/2034,250.00,200,5100"
"127,1127,127,665000,670000,51,6/21/2034,260.39,0,7980"
"128,1128,128,375000,380000,34,7/26/2034,299.20,300,4500"
"129,1129,129,605000,610000,48,8/30/2034,258.55,0,7260"
"130,1130,130,485000,490000,41,10/4/2034,259.36,230,5820"
"131,1131,131,755000,760000,55,11/8/2034,269.64,0,9060"
"132,1132,132,255000,260000,30,12/13/2034,275.68,290,3060"
"133,1133,133,565000,570000,44,1/17/2035,263.55,0,6780"
"134,1134,134,445000,450000,39,2/21/2035,255.75,210,5340"
"135,1135,135,685000,690000,52,3/28/2035,261.22,0,8220"
"136,1136,136,395000,400000,35,5/2/2035,301.53,310,4740"
"137,1137,137,625000,630000,49,6/6/2035,260.42,0,7500"
"138,1138,138,505000,510000,42,7/11/2035,262.50,240,6060"
"139,1139,139,775000,780000,56,8/15/2035,270.98,0,9300"
"140,1140,140,265000,270000,31,9/19/2035,279.17,300,3180"
"141,1141,141,585000,590000,45,10/24/2035,265.91,0,7020"
"142,1142,142,465000,470000,40,11/28/2035,258.33,220,5580"
"143,1143,143,705000,710000,53,1/2/2036,262.92,0,8460"
"144,1144,144,415000,420000,36,2/6/2036,303.65,320,4980"
"145,1145,145,645000,650000,50,3/12/2036,261.79,0,7740"
"146,1146,146,525000,530000,43,4/16/2036,264.65,250,6300"
"147,1147,147,795000,800000,57,5/21/2036,271.92,0,9540"
"148,1148,148,275000,280000,32,6/25/2036,282.47,310,3300"
"149,1149,149,605000,610000,46,7/30/2036,267.70,0,7260"
"150,1150,150,485000,490000,41,9/3/2036,259.36,230,5820"
"151,1151,151,725000,730000,54,10/8/2036,264.60,0,8700"
"152,1152,152,435000,440000,37,11/12/2036,306.34,330,5220"
"153,1153,153,665000,670000,51,12/17/2036,263.89,0,7980"
"154,1154,154,545000,550000,44,1/21/2037,266.67,260,6540"
"155,1155,155,815000,820000,58,2/25/2037,272.85,0,9780"
"156,1156,156,285000,290000,33,4/1/2037,285.71,320,3420"
"157,1157,157,625000,630000,47,5/6/2037,269.70,0,7500"
"158,1158,158,505000,510000,42,6/10/2037,262.50,240,6060"
"159,1159,159,745000,750000,55,7/15/2037,266.31,0,8940"
"160,1160,160,455000,460000,38,8/19/2037,309.01,340,5460"
"161,1161,161,685000,690000,52,9/23/2037,265.89,0,8220"
"162,1162,162,565000,570000,45,10/28/2037,268.72,270,6780"
"163,1163,163,835000,840000,59,12/2/2037,273.77,0,10020"
"164,1164,164,295000,300000,34,1/6/2038,288.89,330,3540"
"165,1165,165,645000,650000,48,2/10/2038,271.43,0,7740"
"166,1166,166,525000,530000,43,3/17/2038,264.65,250,6300"
"167,1167,167,765000,770000,56,4/21/2038,267.96,0,9180"
"168,1168,168,475000,480000,39,5/26/2038,311.64,350,5700"
"169,1169,169,705000,710000,53,6/30/2038,267.80,0,8460"
"170,1170,170,585000,590000,46,8/4/2038,270.74,280,7020"
"171,1171,171,855000,860000,60,9/8/2038,274.68,0,10260"
"172,1172,172,305000,310000,35,10/13/2038,291.95,340,3660"
"173,1173,173,665000,670000,49,11/17/2038,273.05,0,7980"
"174,1174,174,545000,550000,44,12/22/2038,266.67,260,6540"
"175,1175,175,785000,790000,57,1/26/2039,269.55,0,9420"
"176,1176,176,495000,500000,40,3/2/2039,314.10,360,5940"
"177,1177,177,725000,730000,54,4/6/2039,269.70,0,8700"
"178,1178,178,605000,610000,47,5/11/2039,272.75,290,7260"
"179,1179,179,875000,880000,61,6/15/2039,275.55,0,10500"
"180,1180,180,315000,320000,36,7/20/2039,294.86,350,3780"
"181,1181,181,685000,690000,50,8/24/2039,274.60,0,8220"
"182,1182,182,565000,570000,45,9/28/2039,268.72,270,6780"
"183,1183,183,805000,810000,58,11/2/2039,271.07,0,9660"
"184,1184,184,515000,520000,41,12/7/2039,316.46,370,6180"
"185,1185,185,745000,750000,55,1/11/2040,271.53,0,8940"
"186,1186,186,625000,630000,48,2/15/2040,274.67,300,7500"
"187,1187,187,895000,900000,62,3/21/2040,276.39,0,10740"
"188,1188,188,325000,330000,37,4/25/2040,297.62,360,3900"
"189,1189,189,705000,710000,51,5/30/2040,276.08,0,8460"
"190,1190,190,585000,590000,46,7/4/2040,270.74,280,7020"
"191,1191,191,825000,830000,59,8/8/2040,272.52,0,9900"
"192,1192,192,535000,540000,42,9/12/2040,318.71,380,6420"
"193,1193,193,765000,770000,56,10/17/2040,273.30,0,9180"
"194,1194,194,645000,650000,49,11/21/2040,276.50,310,7740"
"195,1195,195,915000,920000,63,12/26/2040,277.19,0,10980"
"196,1196,196,335000,340000,38,1/30/2041,300.23,370,4020"
"197,1197,197,725000,730000,52,3/6/2041,277.49,0,8700"
"198,1198,198,605000,610000,47,4/10/2041,272.75,290,7260"
"199,1199,199,845000,850000,60,5/15/2041,273.89,0,10140"
"200,1200,200,555000,560000,43,6/19/2041,320.87,390,6660"
"201,1201,201,785000,790000,57,7/24/2041,274.91,0,9420"
"202,1202,202,665000,670000,50,8/28/2041,278.24,320,7980"
"203,1203,203,935000,940000,64,10/2/2041,277.97,0,11220"
"204,1204,204,345000,350000,39,11/6/2041,302.70,380,4140"
"205,1205,205,745000,750000,53,12/11/2041,278.84,0,8940"
"206,1206,206,625000,630000,48,1/15/2042,274.67,300,7500"
"207,1207,207,865000,870000,61,2/19/2042,275.22,0,10380"
"208,1208,208,575000,580000,44,3/26/2042,322.95,400,6900"
"209,1209,209,805000,810000,58,4/30/2042,276.46,0,9660"
"210,1210,210,685000,690000,51,6/4/2042,279.92,330,8220"
"211,1211,211,955000,960000,65,7/9/2042,278.72,0,11460"
"212,1212,212,355000,360000,40,8/13/2042,305.02,390,4260"
"213,1213,213,765000,770000,54,9/17/2042,280.15,0,9180"
"214,1214,214,645000,650000,49,10/22/2042,276.50,310,7740"
"215,1215,215,885000,890000,62,11/26/2042,276.51,0,10620"
"216,1216,216,595000,600000,45,12/31/2042,324.95,410,7140"
"217,1217,217,825000,830000,59,2/4/2043,277.95,0,9900"
"218,1218,218,705000,710000,52,3/11/2043,281.53,340,8460"
"219,1219,219,975000,980000,66,4/15/2043,279.45,0,11700"
"220,1220,220,365000,370000,41,5/20/2043,307.20,400,4380"
"221,1221,221,785000,790000,55,6/24/2043,281.41,0,9420"
"222,1222,222,665000,670000,50,7/29/2043,278.24,320,7980"
"223,1223,223,905000,910000,63,9/2/2043,277.76,0,10860"
"224,1224,224,615000,620000,46,10/7/2043,326.87,420,7380"
"225,1225,225,845000,850000,60,11/11/2043,279.39,0,10140"
"226,1226,226,725000,730000,53,12/16/2043,283.09,350,8700"
"227,1227,227,995000,1000000,67,1/20/2044,280.15,0,11940"
"228,1228,228,375000,380000,42,2/24/2044,309.25,410,4500"
"229,1229,229,805000,810000,56,3/30/2044,282.63,0,9660"
"230,1230,230,685000,690000,51,5/4/2044,279.92,330,8220"
"231,1231,231,925000,930000,64,6/8/2044,278.98,0,11100"
"232,1232,232,635000,640000,47,7/13/2044,328.72,430,7620"
"233,1233,233,865000,870000,61,8/17/2044,280.79,0,10380"
"234,1234,234,745000,750000,54,9/21/2044,284.59,360,8940"
"235,1235,235,1015000,1020000,68,10/26/2044,280.83,0,12180"
"236,1236,236,385000,390000,43,11/30/2044,311.18,420,4620"
"237,1237,237,825000,830000,57,1/4/2045,283.81,0,9900"
"238,1238,238,705000,710000,52,2/8/2045,281.53,340,8460"
"239,1239,239,945000,950000,65,3/15/2045,280.16,0,11340"
"240,1240,240,655000,660000,48,4/19/2045,330.50,440,7860"
"241,1241,241,885000,890000,62,5/24/2045,282.15,0,10620"
"242,1242,242,765000,770000,55,6/28/2045,286.05,370,9180"
"243,1243,243,1035000,1040000,69,8/2/2045,281.48,0,12420"
"244,1244,244,395000,400000,44,9/6/2045,313.00,430,4740"
"245,1245,245,845000,850000,58,10/11/2045,284.96,0,10140"
"246,1246,246,725000,730000,53,11/15/2045,283.09,350,8700"
"247,1247,247,965000,970000,66,12/20/2045,281.31,0,11580"
"248,1248,248,675000,680000,49,1/24/2046,332.22,450,8100"
"249,1249,249,905000,910000,63,2/28/2046,283.47,0,10860"
"250,1250,250,785000,790000,56,4/4/2046,287.46,380,9420"
"251,1251,251,1055000,1060000,70,5/9/2046,282.10,0,12660"
"252,1252,252,405000,410000,45,6/13/2046,314.73,440,4860"
"253,1253,253,865000,870000,59,7/18/2046,286.07,0,10380"
"254,1254,254,745000,750000,54,8/22/2046,284.59,360,8940"
"255,1255,255,985000,990000,67,9/26/2046,282.43,0,11820"
"256,1256,256,695000,700000,50,10/31/2046,333.88,460,8340"
"257,1257,257,925000,930000,64,12/5/2046,284.76,0,11100"
"258,1258,258,805000,810000,57,1/9/2047,288.82,390,9660"
"259,1259,259,1075000,1080000,71,2/13/2047,282.70,0,12900"
"260,1260,260,415000,420000,46,3/20/2047,316.37,450,4980"
"261,1261,261,885000,890000,60,4/24/2047,287.15,0,10620"
"262,1262,262,765000,770000,55,5/29/2047,286.05,370,9180"
"263,1263,263,1005000,1010000,68,7/3/2047,283.51,0,12060"
"264,1264,264,715000,720000,51,8/7/2047,335.48,470,8580"
"265,1265,265,945000,950000,65,9/11/2047,286.01,0,11340"
"266,1266,266,825000,830000,58,10/16/2047,290.14,400,9900"
"267,1267,267,1095000,1100000,72,11/20/2047,283.28,0,13140"
"268,1268,268,425000,430000,47,12/25/2047,317.91,460,5100"
"269,1269,269,905000,910000,61,1/29/2048,288.20,0,10860"
"270,1270,270,785000,790000,56,3/4/2048,287.46,380,9420"
"271,1271,271,1025000,1030000,69,4/8/2048,284.57,0,12300"
"272,1272,272,735000,740000,52,5/13/2048,337.02,480,8820"
"273,1273,273,965000,970000,66,6/17/2048,287.23,0,11580"
"274,1274,274,845000,850000,59,7/22/2048,291.42,410,10140"
"275,1275,275,1115000,1120000,73,8/26/2048,283.84,0,13380"
"276,1276,276,435000,440000,48,9/30/2048,319.37,470,5220"
"277,1277,277,925000,930000,62,11/4/2048,289.22,0,11100"
"278,1278,278,805000,810000,57,12/9/2048,288.82,390,9660"
"279,1279,279,1045000,1050000,70,1/13/2049,285.59,0,12540"
"280,1280,280,755000,760000,53,2/17/2049,338.51,490,9060"
"281,1281,281,985000,990000,67,3/24/2049,288.41,0,11820"
"282,1282,282,865000,870000,60,4/28/2049,292.67,420,10380"
"283,1283,283,1135000,1140000,74,6/2/2049,284.38,0,13620"
"284,1284,284,445000,450000,49,7/7/2049,320.74,480,5340"
"285,1285,285,945000,950000,63,8/11/2049,290.21,0,11340"
"286,1286,286,825000,830000,58,9/15/2049,290.14,400,9900"
"287,1287,287,1065000,1070000,71,10/20/2049,286.58,0,12780"
"288,1288,288,775000,780000,54,11/24/2049,339.95,500,9300"
"289,1289,289,1005000,1010000,68,12/29/2049,289.56,0,12060"
"290,1290,290,885000,890000,61,2/2/2050,293.88,430,10620"
"291,1291,291,1155000,1160000,75,3/9/2050,284.90,0,13860"
"292,1292,292,455000,460000,50,4/13/2050,322.03,490,5460"
"293,1293,293,965000,970000,64,5/18/2050,291.18,0,11580"
"294,1294,294,845000,850000,59,6/22/2050,291.42,410,10140"
"295,1295,295,1085000,1090000,72,7/27/2050,287.54,0,13020"
"296,1296,296,795000,800000,55,8/31/2050,341.33,510,9540"
"297,1297,297,1025000,1030000,69,10/5/2050,290.68,0,12300"
"298,1298,298,905000,910000,62,11/9/2050,295.06,440,10860"
"299,1299,299,1175000,1180000,76,12/14/2050,285.40,0,14100"
"300,1300,300,465000,470000,51,1/18/2051,323.24,500,5580"
